Date,IXIC
1975/1/6,61.740002
1975/1/7,61.889999
1975/1/8,61.5
1975/1/9,62.369999
1975/1/10,63.689999
1975/1/13,63.34
1975/1/14,63.110001
1975/1/15,63.869999
1975/1/16,64.800003
1975/1/17,64.400002
1975/1/20,64.440002
1975/1/21,64.18
1975/1/22,64.120003
1975/1/23,64.489998
1975/1/24,65.379997
1975/1/27,67.040001
1975/1/28,67.919998
1975/1/29,69.080002
1975/1/30,68.989998
1975/1/31,69.779999
1975/2/3,70.730003
1975/2/4,70.129997
1975/2/5,71.07
1975/2/6,71.459999
1975/2/7,71.120003
1975/2/10,70.82
1975/2/11,70.830002
1975/2/12,71.589996
1975/2/13,72.879997
1975/2/14,73.260002
1975/2/18,72.470001
1975/2/19,72.870003
1975/2/20,73.580002
1975/2/21,73.790001
1975/2/24,73.139999
1975/2/25,72.07
1975/2/26,72.239998
1975/2/27,72.529999
1975/2/28,73
1975/3/3,73.830002
1975/3/4,74.209999
1975/3/5,73.900002
1975/3/6,74.029999
1975/3/7,74.400002
1975/3/10,74.879997
1975/3/11,75.040001
1975/3/12,74.129997
1975/3/13,74.68
1975/3/14,76.07
1975/3/17,76.269997
1975/3/18,76.18
1975/3/19,75.669998
1975/3/20,75.779999
1975/3/21,75.919998
1975/3/24,74.419998
1975/3/25,74.330002
1975/3/26,75.559998
1975/3/27,76.18
1975/3/31,75.660004
1975/4/1,75.419998
1975/4/2,75.620003
1975/4/3,74.949997
1975/4/4,74.730003
1975/4/7,74.339996
1975/4/8,74.529999
1975/4/9,75.400002
1975/4/10,75.760002
1975/4/11,76.309998
1975/4/14,77.330002
1975/4/15,77.510002
1975/4/16,78
1975/4/17,78.260002
1975/4/18,78.080002
1975/4/21,79.080002
1975/4/22,78.540001
1975/4/23,78.239998
1975/4/24,78.07
1975/4/25,78.639999
1975/4/28,78.279999
1975/4/29,77.82
1975/4/30,78.540001
1975/5/1,79.269997
1975/5/2,80.25
1975/5/5,81.139999
1975/5/6,80.809998
1975/5/7,81.309998
1975/5/8,82.120003
1975/5/9,82.82
1975/5/12,82.300003
1975/5/13,82.349998
1975/5/14,82.910004
1975/5/15,82.790001
1975/5/16,82.440002
1975/5/19,81.989998
1975/5/20,81.82
1975/5/21,80.949997
1975/5/22,81.559998
1975/5/23,82.620003
1975/5/27,82.489998
1975/5/28,81.980003
1975/5/29,81.779999
1975/5/30,83.099998
1975/6/2,83.879997
1975/6/3,84.139999
1975/6/4,84.040001
1975/6/5,84.239998
1975/6/6,84.769997
1975/6/9,84.010002
1975/6/10,83.400002
1975/6/11,83.599998
1975/6/12,82.989998
1975/6/13,83.43
1975/6/16,84.010002
1975/6/17,83.43
1975/6/18,83.470001
1975/6/19,84.550003
1975/6/20,85.239998
1975/6/23,85.769997
1975/6/24,86.230003
1975/6/25,86.300003
1975/6/26,86.449997
1975/6/27,86.5
1975/6/30,87.019997
1975/7/1,86.330002
1975/7/2,85.639999
1975/7/3,86.199997
1975/7/7,85.599998
1975/7/8,85.389999
1975/7/9,86.5
1975/7/10,86.830002
1975/7/11,87.199997
1975/7/14,87.580002
1975/7/15,88
1975/7/16,87.389999
1975/7/17,87.129997
1975/7/18,87.019997
1975/7/21,86.769997
1975/7/22,85.720001
1975/7/23,84.620003
1975/7/24,84.139999
1975/7/25,83.599998
1975/7/28,83.089996
1975/7/29,82.669998
1975/7/30,83.029999
1975/7/31,83.190002
1975/8/1,81.620003
1975/8/4,80.980003
1975/8/5,80.169998
1975/8/6,80.239998
1975/8/7,79.589996
1975/8/8,79.550003
1975/8/11,79.449997
1975/8/12,79.599998
1975/8/13,79.089996
1975/8/14,78.449997
1975/8/15,78.580002
1975/8/18,78.029999
1975/8/19,76.650002
1975/8/20,75.519997
1975/8/21,75.900002
1975/8/22,76.449997
1975/8/25,76.839996
1975/8/26,76.209999
1975/8/27,76.57
1975/8/28,78.059998
1975/8/29,79.010002
1975/9/2,77.889999
1975/9/3,78.080002
1975/9/4,78.129997
1975/9/5,77.779999
1975/9/8,77.459999
1975/9/9,76.599998
1975/9/10,75.239998
1975/9/11,74.849998
1975/9/12,74.720001
1975/9/15,74.470001
1975/9/16,73.779999
1975/9/17,73.870003
1975/9/18,74.779999
1975/9/19,76.389999
1975/9/22,75.860001
1975/9/23,75.940002
1975/9/24,76.43
1975/9/25,76.099998
1975/9/26,76.139999
1975/9/29,75.370003
1975/9/30,74.330002
1975/10/1,73.800003
1975/10/2,74.160004
